,id,source,target,length_m,X,Y,name,charging_stations,model_type
0,10000,8864153,8860579,16360.268924364946,6.723060865222015,52.2430021011035,"('8864153', '8860579')",,link
1,10001,8868065,8866297,37024.674142402364,6.888269570227571,53.3845044259933,"('8868065', '8866297')",,link
2,10002,8868065,8863614,1826.96746134736,6.936999497692866,53.32671034470725,"('8868065', '8863614')",,link
3,10003,8864526,8864005,28128.83107822585,5.353219966318685,52.4345774422467,"('8864526', '8864005')",,link
4,10004,8864526,8862690,7646.1206187269345,5.49599821587999,52.48336874277225,"('8864526', '8862690')",,link
5,10005,8868208,8861292,15305.284316640002,5.845022259109456,51.09988159275055,"('8868208', '8861292')",,link
6,10006,8868208,8867148,9678.917653196715,5.778680025197641,51.009632270488396,"('8868208', '8867148')",,link
7,10007,8863354,22638327,148.81001843146916,5.854103977459134,51.85209955227545,"('8863354', '22638327')",,link
8,10008,8863354,8861687,3348.901030302486,5.8406182034250556,51.859276598130954,"('8863354', '8861687')",,link
9,10009,8863114,22638019,69.62598264212046,6.07876855488008,51.546917506879055,"('8863114', '22638019')",,link
10,10010,8863114,8864553,22472.167086056357,6.02099854062055,51.6147523701944,"('8863114', '8864553')",,link
11,10011,8863114,8860623,26592.040379090307,6.11666119803461,51.47050352472685,"('8863114', '8860623')",,link
12,10012,8867046,8862592,5712.559012733039,4.913021596974055,52.360481963740696,"('8867046', '8862592')",,link
13,10013,8867046,8863360,46600.619639473705,4.795098163300285,52.23023427667185,"('8867046', '8863360')",,link
14,10014,8867046,8865887,13500.574631946138,4.96836912964322,52.32285906070805,"('8867046', '8865887')",,link
15,10015,8861986,8862292,6758.126730632686,4.413469668715365,51.919184595604094,"('8861986', '8862292')",,link
16,10016,8861986,8863206,5105.609888398716,4.387270642528085,51.89966876435074,"('8861986', '8863206')",,link
17,10017,8861986,8866388,6422.974310842722,4.43885354026209,51.9000313488614,"('8861986', '8866388')",,link
18,10018,30984595,8860725,6279.201490860039,4.596294442118015,51.703364087903154,"('30984595', '8860725')",,link
19,10019,8867829,8867515,4976.985453292856,5.075761208313255,52.3730874538692,"('8867829', '8867515')",,link
20,10020,8867829,8865887,13081.040789248524,5.057590068578855,52.33221537890485,"('8867829', '8865887')",,link
21,10021,8863818,8863630,7765.172161466329,4.83589280034294,51.681539882306055,"('8863818', '8863630')",,link
22,10022,8863818,8867740,31794.97078552293,4.972805407413585,51.611639502234304,"('8863818', '8867740')",,link
23,10023,8862907,8866893,23444.80948519612,4.949255249873531,51.7129873936163,"('8862907', '8866893')",,link
24,10024,8862907,8866627,825.4579713324122,5.05564220526443,51.708780959249,"('8862907', '8866627')",,link
25,10025,8861752,8862048,7261.178649044565,4.691934334411265,52.44735881097285,"('8861752', '8862048')",,link
26,10026,8861752,8861863,4447.126251963466,4.642423567366885,52.46357970763705,"('8861752', '8861863')",,link
27,10027,8865412,8861996,8678.919879769393,5.4997890230937845,51.8929122023806,"('8865412', '8861996')",,link
28,10028,8865412,8861687,32434.10909036162,5.682729671849341,51.8815162628356,"('8865412', '8861687')",,link
29,10029,8862497,8865817,1029.157007993054,4.588400982887295,52.470056279816404,"('8862497', '8865817')",,link
30,10030,8861292,8864319,1563.8968251423835,5.892077928412336,51.15902476651685,"('8861292', '8864319')",,link
31,10031,8861292,8863599,271.6740797948696,5.888427062335401,51.153966103512346,"('8861292', '8863599')",,link
32,10032,22638146,8865631,247.976977009192,5.44421991998588,51.884857512650655,"('22638146', '8865631')",,link
33,10033,8866686,8865140,1910.6073697711045,4.624423240273015,51.882727302122355,"('8866686', '8865140')",,link
34,10034,8866686,8863048,4354.183792219704,4.64449894714174,51.863416790395355,"('8866686', '8863048')",,link
35,10035,8861231,8862776,37662.42636162494,4.93892303893109,51.9603390333437,"('8861231', '8862776')",,link
36,10036,8861231,8867392,1347.594709895256,5.0944630799438695,52.006925111529995,"('8861231', '8867392')",,link
37,10037,8867258,8862690,22054.022383817028,5.62007016398915,52.5199914002324,"('8867258', '8862690')",,link
38,10038,8867258,8867901,7802.775698419793,5.740435100837081,52.561460613334845,"('8867258', '8867901')",,link
39,10039,8867240,8866045,810.1520915585847,5.1149456753206,52.06598080447385,"('8867240', '8866045')",,link
40,10040,8865887,8864384,12677.00695130395,4.98669176458338,52.34312109366275,"('8865887', '8864384')",,link
41,10041,8865887,8864837,2899.1081096888047,5.021256608688075,52.2912791230546,"('8865887', '8864837')",,link
42,10042,8865846,8860732,6342.197653574884,5.09179386066102,52.072615836436654,"('8865846', '8860732')",,link
43,10043,8865846,8866095,1237.4271420654368,5.1088190157198206,52.04387364634745,"('8865846', '8866095')",,link
44,10044,8865846,8867392,5150.090118295874,5.1017212513663,52.03032040431495,"('8865846', '8867392')",,link
45,10045,8865846,8866045,1756.8508609858898,5.109518640347485,52.0557800697008,"('8865846', '8866045')",,link
46,10046,8860725,8867130,9053.929362495543,4.621933481506855,51.75302074301615,"('8860725', '8867130')",,link
47,10047,8860725,8861698,4454.730156416705,4.640105885431515,51.71770068611086,"('8860725', '8861698')",,link
48,10048,8862716,8865186,35117.6542642193,4.764482890428191,52.30454522615565,"('8862716', '8865186')",,link
49,10049,8862716,8863360,14856.774475072614,4.659476950146165,52.16988661257155,"('8862716', '8863360')",,link
50,10050,8862716,8866306,9864.727392175579,4.600704093781726,52.21999885317446,"('8862716', '8866306')",,link
51,10051,8863709,8862690,3789.8471672387113,5.525509915760905,52.5175458741084,"('8863709', '8862690')",,link
52,10052,8862776,8865140,19083.316571074705,4.7026760543878705,51.904077389579605,"('8862776', '8865140')",,link
53,10053,8867500,8865140,4548.7114559023,4.599769118999225,51.89577170179895,"('8867500', '8865140')",,link
54,10054,8867500,8863742,3010.574501261619,4.567076573139815,51.9040031878656,"('8867500', '8863742')",,link
55,10055,8867500,8867374,2903.957468619093,4.578663172039355,51.9082009262004,"('8867500', '8867374')",,link
56,10056,8861568,8865644,2195.066624197709,4.779183795791155,52.95139464358204,"('8861568', '8865644')",,link
57,10057,8863048,8866570,3204.746699173358,4.664164301877265,51.84004798596505,"('8863048', '8866570')",,link
58,10058,8862340,8860631,1558.4441908427393,5.346180601146985,51.95838008678224,"('8862340', '8860631')",,link
59,10059,8862340,8862202,1104.0932076450106,5.35735470389156,51.953953022719546,"('8862340', '8862202')",,link
60,10060,8865803,8861716,3404.805972468202,4.326768204132335,51.880682762367854,"('8865803', '8861716')",,link
61,10061,8865803,8864737,11931.86907901251,4.38275508454935,51.851827797457254,"('8865803', '8864737')",,link
62,10062,8865756,30986055,2481.139176292334,5.41235034838725,53.17849950966385,"('8865756', '30986055')",,link
63,10063,8867901,8863596,1022.9995319265565,5.7705211488269645,52.58365519986249,"('8867901', '8863596')",,link
64,10064,8863131,8867986,584.9264533641734,4.673586216198215,51.82149435383915,"('8863131', '8867986')",,link
65,10065,8863131,8866570,831.6178353275283,4.670095956949595,51.82571585065565,"('8863131', '8866570')",,link
66,10066,8863131,8863665,6109.629444359677,4.6461535999396,51.81104328684425,"('8863131', '8863665')",,link
67,10067,8866429,8863656,2002.9581465276578,4.8158436450884405,52.4136201408064,"('8866429', '8863656')",,link
68,10068,8868191,8863596,13065.594194231064,5.832828392251685,52.5778515805241,"('8868191', '8863596')",,link
69,10069,8860579,8866512,15216.961607814945,6.638308079268626,52.30340358026525,"('8860579', '8866512')",,link
70,10070,8862202,8861996,13480.952406888953,5.41153997044016,51.92033860006615,"('8862202', '8861996')",,link
71,10071,8862614,8867785,4541.701591594181,3.6861295243106547,51.42935655077605,"('8862614', '8867785')",,link
72,10072,8862614,8864111,5458.713470581143,3.6872550637911448,51.4452347914124,"('8862614', '8864111')",,link
73,10073,8861447,8867600,31559.39263526992,5.236600901101865,53.2559758758656,"('8861447', '8867600')",,link
74,10074,8861447,8865605,9312.218159038304,5.118942901046831,53.30810511363515,"('8861447', '8865605')",,link
75,10075,8860732,8864837,25641.274336459184,5.049513504668759,52.1874017909586,"('8860732', '8864837')",,link
76,10076,8860732,8866045,5814.765678183789,5.095300164088645,52.079711237681856,"('8860732', '8866045')",,link
77,10077,8866564,8866306,3378.2517165791955,4.548598087993716,52.210291929384454,"('8866564', '8866306')",,link
78,10078,8866564,8862292,46539.08556502948,4.47855629344372,52.069877902754996,"('8866564', '8862292')",,link
