,id,source,target,length_m,X,Y,name,charging_stations,model_type,number_CS
0,10000,8865449,8861231,366.29983262438077,5.093126486288635,52.002182810739946,"('8865449', '8861231')",,link,
1,10001,8865449,8862813,930.1199490303738,5.09894922651903,52.00276523661425,"('8865449', '8862813')",,link,
2,10002,8865449,8867910,26616.06611909184,5.03368832060081,51.9185362853659,"('8865449', '8867910')",,link,
3,10003,8866570,8863048,3204.746699173358,4.664164301877265,51.84004798596505,"('8866570', '8863048')",,link,
4,10004,8866570,8863131,831.6178353275283,4.670095956949595,51.82571585065565,"('8866570', '8863131')",,link,
5,10005,8863272,8863656,3147.743549842997,4.826482561752311,52.4199541296512,"('8863272', '8863656')",,link,
6,10006,8863272,8861372,31379.45313872912,4.80487355013038,52.519916464388245,"('8863272', '8861372')",,link,
7,10007,8863272,8866747,6263.787724277327,4.865744874903985,52.40675266599365,"('8863272', '8866747')",,link,
8,10008,8865143,8861840,8893.802521221964,5.63202099519212,52.81117836938035,"('8865143', '8861840')",,link,
9,10009,8865143,8868409,3898.359775561027,5.67331663522252,52.8475004980465,"('8865143', '8868409')",,link,
10,10010,8865143,8865894,5298.212652483567,5.686559262268361,52.83550638522875,"('8865143', '8865894')",,link,
11,10011,8865143,115,20043.559412023216,5.57534998895957,52.83525809946288,"('8865143', '115')",,link,
12,10012,8866780,8864465,931.8193760040785,4.121869247317045,51.970263203612646,"('8866780', '8864465')",,link,
13,10013,8866780,8866305,6207.5002759116505,4.09377025741992,51.976934066778654,"('8866780', '8866305')",,link,
14,10014,8866780,8864952,3331.4441806204304,4.1334964837202,51.96165944982825,"('8866780', '8864952')",,link,
15,10015,8868168,8864153,7515.446384043269,6.826676008928625,52.23426686993225,"('8868168', '8864153')",,link,
16,10016,8863861,8866661,1508.2968389469756,5.61431342209562,52.359205340985554,"('8863861', '8866661')",,link,
17,10017,30986055,8867600,8380.518917153964,5.36523098058491,53.1834194972206,"('30986055', '8867600')",,link,
18,10018,30986055,8864167,68.70060813168062,5.40212532099331,53.17738116154335,"('30986055', '8864167')",,link,
19,10019,30986055,8865756,2481.139176292334,5.41235034838725,53.17849950966385,"('30986055', '8865756')",,link,
20,10020,8865140,8867500,4548.7114559023,4.599769118999225,51.89577170179895,"('8865140', '8867500')",,link,
21,10021,8865140,8866686,1910.6073697711045,4.624423240273015,51.882727302122355,"('8865140', '8866686')",,link,
22,10022,8865140,8862776,19083.316571074705,4.7026760543878705,51.904077389579605,"('8865140', '8862776')",,link,
23,10023,8861840,8863288,25866.473937934672,5.485350921487784,52.765650308733456,"('8861840', '8863288')",,link,
24,10024,8861840,8863762,16661.62593743347,5.57147900003931,52.7209961684364,"('8861840', '8863762')",,link,
25,10025,8863206,8861986,5105.609888398716,4.387270642528085,51.89966876435074,"('8863206', '8861986')",,link,
26,10026,8863206,8861716,4985.745660838811,4.34226285535736,51.89693226794344,"('8863206', '8861716')",,link,
27,10027,8861546,8860918,29452.788060354498,6.1612429398572255,52.0944046616181,"('8861546', '8860918')",,link,
28,10028,8861546,121,18849.861067505375,6.066299306612279,52.0097312359639,"('8861546', '121')",,link,
29,10029,11309119,8865119,7485.407449996959,5.34811515264668,51.769058141952954,"('11309119', '8865119')",,link,
30,10030,11309119,11309058,9235.019524774398,5.349925824580655,51.71414914474245,"('11309119', '11309058')",,link,
31,10031,11309119,8862161,8936.924149917042,5.288520369293485,51.740879765330206,"('11309119', '8862161')",,link,
32,10032,8864258,8862801,11536.729731823743,4.30381222864868,51.65016650483605,"('8864258', '8862801')",,link,
33,10033,8864258,8866727,4287.186346464667,4.37121946554408,51.670195071572095,"('8864258', '8866727')",,link,
34,10034,8864258,8867153,5051.7572648450905,4.371337481129251,51.676454112153394,"('8864258', '8867153')",,link,
35,10035,8867240,8866045,810.1520915585847,5.1149456753206,52.06598080447385,"('8867240', '8866045')",,link,
36,10036,8867740,8863818,31794.97078552293,4.972805407413585,51.611639502234304,"('8867740', '8863818')",,link,
37,10037,8867910,8864151,1655.7769099938287,4.96715494547205,51.829730875143795,"('8867910', '8864151')",,link,
38,10038,8867910,8863019,690.3248762319221,4.975721405148805,51.83494896182645,"('8867910', '8863019')",,link,
39,10039,8863306,8864009,651.3288639667403,4.503066163684995,51.91768524328735,"('8863306', '8864009')",,link,
40,10040,8863306,8863710,2075.649596554211,4.492396057102985,51.9133661950382,"('8863306', '8863710')",,link,
41,10041,8862716,8865186,35117.6542642193,4.764482890428191,52.30454522615565,"('8862716', '8865186')",,link,
42,10042,8862716,8863360,14856.774475072614,4.659476950146165,52.16988661257155,"('8862716', '8863360')",,link,
43,10043,8862716,8866306,9864.727392175579,4.600704093781726,52.21999885317446,"('8862716', '8866306')",,link,
44,10044,8863891,8863105,8196.865759687154,3.7785163367817898,51.35669641662195,"('8863891', '8863105')",,link,
45,10045,8863891,8861528,20727.387990750554,3.654935074468515,51.38315549476485,"('8863891', '8861528')",,link,
46,10046,8863891,8867785,7937.402030021543,3.723411904788475,51.3934572588435,"('8863891', '8867785')",,link,
47,10047,11309058,8865990,18936.187403332948,5.450225574685225,51.6454172642877,"('11309058', '8865990')",,link,
48,10048,11309058,8866775,11560.215726589655,5.324145650200795,51.69553028037615,"('11309058', '8866775')",,link,
49,10049,8863048,8866686,4354.183792219704,4.64449894714174,51.863416790395355,"('8863048', '8866686')",,link,
50,10050,8864384,8867515,12312.66212513234,5.00486290431778,52.3839931686271,"('8864384', '8867515')",,link,
51,10051,8864384,8862592,4659.573897961478,4.931344231914215,52.3807439966954,"('8864384', '8862592')",,link,
52,10052,8864384,8865887,12677.00695130395,4.98669176458338,52.34312109366275,"('8864384', '8865887')",,link,
53,10053,8863599,8861292,271.6740797948696,5.888427062335401,51.153966103512346,"('8863599', '8861292')",,link,
54,10054,8866775,8862161,4204.47196236792,5.262740194913626,51.7222609009639,"('8866775', '8862161')",,link,
55,10055,8866465,113,20399.097360646778,4.9345598354149605,52.76246718217895,"('8866465', '113')",,link,
56,10056,8860870,8860743,1680.473765737455,4.429813822176245,51.706440610743854,"('8860870', '8860743')",,link,
57,10057,8860870,8867153,4576.881195167203,4.405861197625555,51.700960439939,"('8860870', '8867153')",,link,
58,10058,8860870,104,26096.37386591743,4.4256029431580926,51.74213802598261,"('8860870', '104')",,link,
59,10059,8862292,8861986,6758.126730632686,4.413469668715365,51.919184595604094,"('8862292', '8861986')",,link,
60,10060,8862292,8866388,7460.086858748054,4.442274229472795,51.9192952817415,"('8862292', '8866388')",,link,
61,10061,8862292,108,23269.54278251474,4.447723325684895,52.0041632156196,"('8862292', '108')",,link,
62,10062,8863207,102,31016.879143942682,5.739231993680756,51.972764347431294,"('8863207', '102')",,link,
63,10063,8863207,121,18849.861067505375,5.937057275081293,51.9877135499397,"('8863207', '121')",,link,
64,10064,8862801,8867083,19982.07204534722,4.2388686185458955,51.58046011071936,"('8862801', '8867083')",,link,
65,10065,8862801,105,24266.603004660057,4.191572797611043,51.605149854294424,"('8862801', '105')",,link,
66,10066,8865462,8861681,21676.335695848804,5.843043399317461,53.18331864333315,"('8865462', '8861681')",,link,
67,10067,8865462,8866748,1931.1885161827386,5.7604445487645854,53.19727242291635,"('8865462', '8866748')",,link,
68,10068,8865462,123,18681.139324824864,5.669464786617441,53.192083706832,"('8865462', '123')",,link,
69,10069,8867429,8867516,1270.4329749852861,6.16703863026007,52.24582748704225,"('8867429', '8867516')",,link,
70,10070,8861158,8861716,1121.2774810409767,4.314977073856725,51.894817705440445,"('8861158', '8861716')",,link,
71,10071,8861158,8863475,3407.5075506013595,4.297166693897999,51.88991138802715,"('8861158', '8863475')",,link,
72,10072,8861158,8864465,22508.809851195314,4.217075763911325,51.9343149571283,"('8861158', '8864465')",,link,
73,10073,8863336,8862616,6581.681186578718,5.30538567174628,52.81176158211615,"('8863336', '8862616')",,link,
74,10074,8863336,8860933,28928.401913894573,5.322533518913165,52.962713818869496,"('8863336', '8860933')",,link,
75,10075,8863336,115,20043.559412023216,5.39781284339453,52.83922262907022,"('8863336', '115')",,link,
76,10076,22638327,8863354,148.81001843146916,5.854103977459134,51.85209955227545,"('22638327', '8863354')",,link,
77,10077,8862506,8861968,494.8782786130264,6.07365010250715,52.5236097616649,"('8862506', '8861968')",,link,
78,10078,8864111,8862614,5458.713470581143,3.6872550637911448,51.4452347914124,"('8864111', '8862614')",,link,
79,10079,8864915,8868409,26579.41434960286,5.727886860521554,52.954111655446056,"('8864915', '8868409')",,link,
80,10080,8864915,8864435,19096.612628356914,5.84079452829113,53.095546705790454,"('8864915', '8864435')",,link,
81,10081,8864915,8863408,10747.87166213029,5.817253489416195,53.0314368304974,"('8864915', '8863408')",,link,
82,10082,8863742,8867374,2757.739737089771,4.56520353216928,51.9100315058256,"('8863742', '8867374')",,link,
