,id,source,target,length_m,X,Y,name,charging_stations,model_type
0,10000,8864153,8860579,16360.268924364946,6.723060865222015,52.2430021011035,"('8864153', '8860579')",,link
1,10001,8868065,8866297,37024.674142402364,6.888269570227571,53.3845044259933,"('8868065', '8866297')",,link
2,10002,8868065,8863614,1826.96746134736,6.936999497692866,53.32671034470725,"('8868065', '8863614')",,link
3,10003,8865920,8864117,291.25856183885236,4.884001242144645,51.81474089308535,"('8865920', '8864117')",,link
4,10004,8864526,8864005,28128.83107822585,5.353219966318685,52.4345774422467,"('8864526', '8864005')",,link
5,10005,8864526,8862690,7646.1206187269345,5.49599821587999,52.48336874277225,"('8864526', '8862690')",,link
6,10006,8864526,8868457,7644.475558713141,5.44100497896196,52.48589856430455,"('8864526', '8868457')",,link
7,10007,8868208,8861292,15305.284316640002,5.845022259109456,51.09988159275055,"('8868208', '8861292')",,link
8,10008,8868208,8867148,9678.917653196715,5.778680025197641,51.009632270488396,"('8868208', '8867148')",,link
9,10009,8863354,22638327,148.81001843146916,5.854103977459134,51.85209955227545,"('8863354', '22638327')",,link
10,10010,8863354,8861687,3348.901030302486,5.8406182034250556,51.859276598130954,"('8863354', '8861687')",,link
11,10011,8863354,8862687,30002.54323716567,5.97447098805301,51.851757163415904,"('8863354', '8862687')",,link
12,10012,8863114,22638019,69.62598264212046,6.07876855488008,51.546917506879055,"('8863114', '22638019')",,link
13,10013,8863114,8864553,22472.167086056357,6.02099854062055,51.6147523701944,"('8863114', '8864553')",,link
14,10014,8863114,8860623,26592.040379090307,6.11666119803461,51.47050352472685,"('8863114', '8860623')",,link
15,10015,11309058,11309119,9235.019524774398,5.349925824580655,51.71414914474245,"('11309058', '11309119')",,link
16,10016,11309058,8865990,18936.187403332948,5.450225574685225,51.6454172642877,"('11309058', '8865990')",,link
17,10017,11309058,8866775,11560.215726589655,5.324145650200795,51.69553028037615,"('11309058', '8866775')",,link
18,10018,8867046,8862592,5712.559012733039,4.913021596974055,52.360481963740696,"('8867046', '8862592')",,link
19,10019,8867046,8863360,46600.619639473705,4.795098163300285,52.23023427667185,"('8867046', '8863360')",,link
20,10020,8867046,8865887,13500.574631946138,4.96836912964322,52.32285906070805,"('8867046', '8865887')",,link
21,10021,8861986,8862292,6758.126730632686,4.413469668715365,51.919184595604094,"('8861986', '8862292')",,link
22,10022,8861986,8863206,5105.609888398716,4.387270642528085,51.89966876435074,"('8861986', '8863206')",,link
23,10023,8861986,8866388,6422.974310842722,4.43885354026209,51.9000313488614,"('8861986', '8866388')",,link
24,10024,30984595,8860725,6279.201490860039,4.596294442118015,51.703364087903154,"('30984595', '8860725')",,link
25,10025,22638320,8864553,318.6481160065551,5.964697068551989,51.6824505362884,"('22638320', '8864553')",,link
26,10026,8865462,8865756,37362.27864964973,5.587067205019711,53.1879061694217,"('8865462', '8865756')",,link
27,10027,8865462,8861681,21676.335695848804,5.843043399317461,53.18331864333315,"('8865462', '8861681')",,link
28,10028,8861681,8864435,4309.579634737994,5.921277237330925,53.1574856522733,"('8861681', '8864435')",,link
29,10029,8867829,8867515,4976.985453292856,5.075761208313255,52.3730874538692,"('8867829', '8867515')",,link
30,10030,8867829,8861611,44561.924733664404,5.27943138220303,52.3103901808763,"('8867829', '8861611')",,link
31,10031,8867829,8865887,13081.040789248524,5.057590068578855,52.33221537890485,"('8867829', '8865887')",,link
32,10032,8861563,8867403,258.6481107170962,5.293964799303125,52.6997572594584,"('8861563', '8867403')",,link
33,10033,8864435,8863518,18698.984476140635,5.982285413508626,53.1267838505417,"('8864435', '8863518')",,link
34,10034,8863818,8863630,7765.172161466329,4.83589280034294,51.681539882306055,"('8863818', '8863630')",,link
35,10035,8863818,8867740,31794.97078552293,4.972805407413585,51.611639502234304,"('8863818', '8867740')",,link
36,10036,8865387,8866137,23039.698710314668,5.06420076747202,51.779161414918455,"('8865387', '8866137')",,link
37,10037,8865387,8864151,4471.861577784906,4.981768840892025,51.8229141347524,"('8865387', '8864151')",,link
38,10038,8865387,8865735,39674.31703004441,5.175534519354455,51.812524455361604,"('8865387', '8865735')",,link
39,10039,8862907,8866137,8527.69983478479,5.090381133129226,51.72466159147975,"('8862907', '8866137')",,link
40,10040,8862907,8866893,23444.80948519612,4.949255249873531,51.7129873936163,"('8862907', '8866893')",,link
41,10041,8862907,8866627,825.4579713324122,5.05564220526443,51.708780959249,"('8862907', '8866627')",,link
42,10042,8863861,8866661,1508.2968389469756,5.61431342209562,52.359205340985554,"('8863861', '8866661')",,link
43,10043,8861752,8862048,7261.178649044565,4.691934334411265,52.44735881097285,"('8861752', '8862048')",,link
44,10044,8861752,8861863,4447.126251963466,4.642423567366885,52.46357970763705,"('8861752', '8861863')",,link
45,10045,8861752,8866671,2090.3837105055036,4.66234890700379,52.46848599031835,"('8861752', '8866671')",,link
46,10046,8865412,8861996,8678.919879769393,5.4997890230937845,51.8929122023806,"('8865412', '8861996')",,link
47,10047,8865412,8861687,32434.10909036162,5.682729671849341,51.8815162628356,"('8865412', '8861687')",,link
48,10048,8864258,8862801,11536.729731823743,4.30381222864868,51.65016650483605,"('8864258', '8862801')",,link
49,10049,8864258,8866727,4287.186346464667,4.37121946554408,51.670195071572095,"('8864258', '8866727')",,link
50,10050,8862497,8865817,1029.157007993054,4.588400982887295,52.470056279816404,"('8862497', '8865817')",,link
51,10051,8861292,8864319,1563.8968251423835,5.892077928412336,51.15902476651685,"('8861292', '8864319')",,link
52,10052,8861292,8863599,271.6740797948696,5.888427062335401,51.153966103512346,"('8861292', '8863599')",,link
53,10053,22638146,8865631,247.976977009192,5.44421991998588,51.884857512650655,"('22638146', '8865631')",,link
54,10054,8862992,8862801,48533.206009320114,4.1299419071438255,51.57155883129295,"('8862992', '8862801')",,link
55,10055,8862992,8865869,8013.645657179569,4.00727757826387,51.4701091925662,"('8862992', '8865869')",,link
56,10056,8866686,8865140,1910.6073697711045,4.624423240273015,51.882727302122355,"('8866686', '8865140')",,link
57,10057,8866686,8863048,4354.183792219704,4.64449894714174,51.863416790395355,"('8866686', '8863048')",,link
58,10058,8861231,8862776,37662.42636162494,4.93892303893109,51.9603390333437,"('8861231', '8862776')",,link
59,10059,8861231,8867392,1347.594709895256,5.0944630799438695,52.006925111529995,"('8861231', '8867392')",,link
60,10060,8867258,8862690,22054.022383817028,5.62007016398915,52.5199914002324,"('8867258', '8862690')",,link
61,10061,8867258,8867901,7802.775698419793,5.740435100837081,52.561460613334845,"('8867258', '8867901')",,link
62,10062,8867240,8866045,810.1520915585847,5.1149456753206,52.06598080447385,"('8867240', '8866045')",,link
63,10063,8866775,8862161,4204.47196236792,5.262740194913626,51.7222609009639,"('8866775', '8862161')",,link
64,10064,8865887,8864384,12677.00695130395,4.98669176458338,52.34312109366275,"('8865887', '8864384')",,link
65,10065,8865887,8864837,2899.1081096888047,5.021256608688075,52.2912791230546,"('8865887', '8864837')",,link
66,10066,8865846,8860732,6342.197653574884,5.09179386066102,52.072615836436654,"('8865846', '8860732')",,link
67,10067,8865846,8866095,1237.4271420654368,5.1088190157198206,52.04387364634745,"('8865846', '8866095')",,link
68,10068,8865846,8867392,5150.090118295874,5.1017212513663,52.03032040431495,"('8865846', '8867392')",,link
69,10069,8865846,8866045,1756.8508609858898,5.109518640347485,52.0557800697008,"('8865846', '8866045')",,link
70,10070,8860725,8867130,9053.929362495543,4.621933481506855,51.75302074301615,"('8860725', '8867130')",,link
71,10071,8860725,8861698,4454.730156416705,4.640105885431515,51.71770068611086,"('8860725', '8861698')",,link
72,10072,8860725,8860743,20683.30028898104,4.52821917277288,51.708222909511704,"('8860725', '8860743')",,link
73,10073,8865735,8865631,14321.299277392684,5.397086526515745,51.84404550241585,"('8865735', '8865631')",,link
74,10074,8865735,8865119,2754.6360768049108,5.35919165596399,51.797023910873754,"('8865735', '8865119')",,link
75,10075,8862716,8865186,35117.6542642193,4.764482890428191,52.30454522615565,"('8862716', '8865186')",,link
76,10076,8862716,8863360,14856.774475072614,4.659476950146165,52.16988661257155,"('8862716', '8863360')",,link
77,10077,8862716,8866306,9864.727392175579,4.600704093781726,52.21999885317446,"('8862716', '8866306')",,link
78,10078,8863709,8862690,3789.8471672387113,5.525509915760905,52.5175458741084,"('8863709', '8862690')",,link
