,length,condition,lat,lon,model_type,id,road,name
302,1.5,A,22.84345514,91.54814956,bridge,10302,N1,xyz
303,274,NaN,22.84227474,91.54847963,link,10303,N1,xyz
304,3,A,22.84109433,91.5488097,bridge,10304,N1,xyz
305,945,NaN,22.83692055,91.5494566,link,10305,N1,xyz
306,3,A,22.83274677,91.5501035,bridge,10306,N1,xyz
307,209,NaN,22.83185406,91.55030318,link,10307,N1,xyz
308,4.5,A,22.83096134,91.55050285,bridge,10308,N1,xyz
309,772,NaN,22.827666,91.5515972,link,10309,N1,xyz
310,12.4,C,22.82437066,91.55269155,bridge,10310,N1,xyz
311,1462,NaN,22.81796705,91.55447388,link,10311,N1,xyz
312,9.5,B,22.81156344,91.55625621,bridge,10312,N1,xyz
313,2116,NaN,22.80287239,91.55960874,link,10313,N1,xyz
314,4.5,A,22.79418135,91.56296126,bridge,10314,N1,xyz
315,1487,NaN,22.78818912,91.56603191,link,10315,N1,xyz
316,23.2,B,22.78219689,91.56910257,bridge,10316,N1,xyz
317,975,NaN,22.77819699,91.57098816,link,10317,N1,xyz
318,6,A,22.77419709,91.57287375,bridge,10318,N1,xyz
319,493,NaN,22.77222438,91.57398214,link,10319,N1,xyz
320,9.7,A,22.77025167,91.57509052,bridge,10320,N1,xyz
321,978,NaN,22.76665718,91.5777722,link,10321,N1,xyz
322,4,A,22.76306269,91.58045388,bridge,10322,N1,xyz
323,1358,NaN,22.75831401,91.58452715,link,10323,N1,xyz
324,12.9,A,22.75356532,91.58860042,bridge,10324,N1,xyz
325,404,NaN,22.75210234,91.58974223,link,10325,N1,xyz
326,3,A,22.75063935,91.59088404,bridge,10326,N1,xyz
327,784,NaN,22.7475765,91.59264196,link,10327,N1,xyz
328,8.1,B,22.74451365,91.59439989,bridge,10328,N1,xyz
329,2508,NaN,22.7339152,91.59841652,link,10329,N1,xyz
330,3,A,22.72331676,91.60243314,bridge,10330,N1,xyz
331,708,NaN,22.72057057,91.60409774,link,10331,N1,xyz
332,3,A,22.71782439,91.60576233,bridge,10332,N1,xyz
333,72,NaN,22.71754756,91.60593541,link,10333,N1,xyz
334,3,A,22.71727073,91.60610848,bridge,10334,N1,xyz
335,450,NaN,22.71557174,91.60717185,link,10335,N1,xyz
336,19.2,C,22.71387274,91.60823522,bridge,10336,N1,xyz
337,1527,NaN,22.70784462,91.61160434,link,10337,N1,xyz
338,19.2,A,22.7018165,91.61497346,bridge,10338,N1,xyz
339,1301,NaN,22.69653411,91.61757126,link,10339,N1,xyz
340,4.2,A,22.69125171,91.62016906,bridge,10340,N1,xyz
341,542,NaN,22.68906074,91.62110382,link,10341,N1,xyz
342,3.2,A,22.68686976,91.62203858,bridge,10342,N1,xyz
343,1199,NaN,22.68192353,91.62442776,link,10343,N1,xyz
344,6,A,22.6769773,91.62681695,bridge,10344,N1,xyz
345,849,NaN,22.67346837,91.62808506,link,10345,N1,xyz
346,3,A,22.66995944,91.62935317,bridge,10346,N1,xyz
347,503,NaN,22.66787167,91.63024126,link,10347,N1,xyz
348,3,A,22.6657839,91.63112936,bridge,10348,N1,xyz
349,537,NaN,22.66368979,91.63232755,link,10349,N1,xyz
350,3,A,22.66159568,91.63352574,bridge,10350,N1,xyz
351,887,NaN,22.65815406,91.63572596,link,10351,N1,xyz
352,3.1,A,22.65471243,91.63792618,bridge,10352,N1,xyz
353,465,NaN,22.65289169,91.63898015,link,10353,N1,xyz
354,4.6,A,22.65107095,91.64003412,bridge,10354,N1,xyz
355,456,NaN,22.64926353,91.64097562,link,10355,N1,xyz
356,12.4,A,22.64745611,91.64191712,bridge,10356,N1,xyz
357,1433,NaN,22.64177635,91.64506318,link,10357,N1,xyz
358,3,A,22.63609659,91.64820924,bridge,10358,N1,xyz
359,223,NaN,22.63521258,91.64870848,link,10359,N1,xyz
360,3,A,22.63432857,91.64920773,bridge,10360,N1,xyz
361,775,NaN,22.6312476,91.65098278,link,10361,N1,xyz
362,3,A,22.62816664,91.65275783,bridge,10362,N1,xyz
363,298,NaN,22.62699949,91.65347179,link,10363,N1,xyz
364,6.1,B,22.62583234,91.65418576,bridge,10364,N1,xyz
365,343,NaN,22.62443925,91.6548265,link,10365,N1,xyz
366,3,A,22.62304617,91.65546725,bridge,10366,N1,xyz
367,602,NaN,22.62040126,91.6567631,link,10367,N1,xyz
368,3,A,22.61775635,91.65805894,bridge,10368,N1,xyz
369,479,NaN,22.61637316,91.659163,link,10369,N1,xyz
370,4.6,A,22.61498997,91.66026705,bridge,10370,N1,xyz
371,436,NaN,22.61337282,91.66141786,link,10371,N1,xyz
372,3,A,22.61175567,91.66256867,bridge,10372,N1,xyz
373,1022,NaN,22.60779756,91.66497162,link,10373,N1,xyz
374,2.95,A,22.60383944,91.66737456,bridge,10374,N1,xyz
375,194,NaN,22.60309507,91.66785565,link,10375,N1,xyz
376,4.5,B,22.60235069,91.66833673,bridge,10376,N1,xyz
377,691,NaN,22.59975864,91.67007797,link,10377,N1,xyz
378,9.3,B,22.59716658,91.67181921,bridge,10378,N1,xyz
379,423,NaN,22.59552738,91.67285407,link,10379,N1,xyz
380,4.5,A,22.59388818,91.67388894,bridge,10380,N1,xyz
381,850,NaN,22.5904616,91.6754667,link,10381,N1,xyz
382,22.25,C,22.58703502,91.67704447,bridge,10382,N1,xyz
383,685,NaN,22.58427185,91.67829176,link,10383,N1,xyz
384,2.5,A,22.58150867,91.67953904,bridge,10384,N1,xyz
385,566,NaN,22.57915085,91.68058089,link,10385,N1,xyz
386,10.2,A,22.57679302,91.68162274,bridge,10386,N1,xyz
387,774,NaN,22.57354181,91.6828162,link,10387,N1,xyz
388,3,A,22.57029059,91.68400967,bridge,10388,N1,xyz
389,273,NaN,22.5691437,91.68434816,link,10389,N1,xyz
390,8.2,A,22.56799681,91.68468666,bridge,10390,N1,xyz
391,187,NaN,22.56720905,91.68493466,link,10391,N1,xyz
392,4.5,A,22.56642129,91.68518266,bridge,10392,N1,xyz
393,924,NaN,22.56247119,91.68634445,link,10393,N1,xyz
394,4.1,A,22.55852109,91.68750624,bridge,10394,N1,xyz
395,490,NaN,22.55642653,91.68815128,link,10395,N1,xyz
396,21.6,B,22.55433198,91.68879631,bridge,10396,N1,xyz
397,962,NaN,22.55055235,91.69071119,link,10397,N1,xyz
398,3,A,22.54677272,91.69262606,bridge,10398,N1,xyz
399,300,NaN,22.54563125,91.69337857,link,10399,N1,xyz
400,5.2,A,22.54448978,91.69413108,bridge,10400,N1,xyz
401,657,NaN,22.5417599,91.69533818,link,10401,N1,xyz
402,8.2,A,22.53903002,91.69654527,bridge,10402,N1,xyz
403,1050,NaN,22.53469891,91.6985047,link,10403,N1,xyz
404,3,A,22.5303678,91.70046412,bridge,10404,N1,xyz
405,903,NaN,22.52665186,91.70215037,link,10405,N1,xyz
406,16.3,B,22.52293592,91.70383662,bridge,10406,N1,xyz
407,1421,NaN,22.51714152,91.7063137,link,10407,N1,xyz
408,41.11,A,22.51134712,91.70879079,bridge,10408,N1,xyz
409,660,NaN,22.50868458,91.71003781,link,10409,N1,xyz
410,4.5,A,22.50602204,91.71128482,bridge,10410,N1,xyz
411,729,NaN,22.50305394,91.71271766,link,10411,N1,xyz
412,17.6,A,22.50008583,91.71415049,bridge,10412,N1,xyz
413,1181,NaN,22.49526322,91.71621158,link,10413,N1,xyz
414,3,B,22.4904406,91.71827267,bridge,10414,N1,xyz
415,565,NaN,22.4879943,91.71890181,link,10415,N1,xyz
416,4.5,A,22.48554801,91.71953095,bridge,10416,N1,xyz
417,499,NaN,22.48335611,91.71994716,link,10417,N1,xyz
418,23.2,B,22.48116421,91.72036336,bridge,10418,N1,xyz
419,986,NaN,22.47700865,91.72181336,link,10419,N1,xyz
420,6,A,22.47285309,91.72326335,bridge,10420,N1,xyz
421,1298,NaN,22.46764586,91.72589703,link,10421,N1,xyz
422,23.2,B,22.46243864,91.7285307,bridge,10422,N1,xyz
423,1632,NaN,22.45565074,91.73140654,link,10423,N1,xyz
424,3,A,22.44886285,91.73428239,bridge,10424,N1,xyz
425,330,NaN,22.44747109,91.73482491,link,10425,N1,xyz
426,26.3,C,22.44607933,91.73536743,bridge,10426,N1,xyz
427,1056,NaN,22.44179143,91.73701669,link,10427,N1,xyz
428,3,A,22.43750352,91.73866595,bridge,10428,N1,xyz
429,310,NaN,22.43628866,91.73915933,link,10429,N1,xyz
430,40,A,22.43507379,91.73965272,bridge,10430,N1,xyz
431,1649,NaN,22.42855767,91.74383685,link,10431,N1,xyz
432,35.1,B,22.42204155,91.74802098,bridge,10432,N1,xyz
433,2327,NaN,22.41252805,91.75229755,link,10433,N1,xyz
434,5,A,22.40301454,91.75657412,bridge,10434,N1,xyz
435,768,NaN,22.39967721,91.75741464,link,10435,N1,xyz
436,3,A,22.39633988,91.75825516,bridge,10436,N1,xyz
437,406,NaN,22.39452871,91.75867169,link,10437,N1,xyz
438,18,A,22.39271753,91.75908821,bridge,10438,N1,xyz
439,927,NaN,22.38898171,91.76079694,link,10439,N1,xyz
440,3,A,22.38524588,91.76250566,bridge,10440,N1,xyz
441,791,NaN,22.38247353,91.76477666,link,10441,N1,xyz
442,8.3,A,22.37970118,91.76704765,bridge,10442,N1,xyz
443,1045,NaN,22.37469266,91.77048676,link,10443,N1,xyz
444,3,A,22.36968413,91.77392587,bridge,10444,N1,Chittagong
445,10050,NaN,22.36479494,91.81309768,link,10445,N1,xyz
446,4.65,C,22.35990574,91.85226949,bridge,10446,N1,xyz
447,882,NaN,22.35608661,91.85244577,link,10447,N1,xyz
448,15.8,A,22.35226747,91.85262205,bridge,10448,N1,xyz
449,1469,NaN,22.34590341,91.8530046,link,10449,N1,xyz
450,38.4,B,22.33953935,91.85338716,bridge,10450,N1,xyz
451,489,NaN,22.33765334,91.85362043,link,10451,N1,xyz
452,39.4,B,22.33576732,91.85385369,bridge,10452,N1,xyz
453,119,NaN,22.33534133,91.8536258,link,10453,N1,xyz
454,48.5,A,22.33491534,91.8533979,bridge,10454,N1,xyz
455,1045,NaN,22.33078024,91.85307865,link,10455,N1,xyz
