,length,condition,lat,lon,intersection,model_type,id,road,name
1502,270,NaN,24.03914519,91.03053286,0,link,11502,N2,
1503,12.5,A,24.03930668,91.03132719,,bridge,11503,N2,
1504,1093,NaN,24.040312,91.03656487,0,link,11504,N2,
1505,12.3,A,24.04131732,91.04180255,,bridge,11505,N2,
1506,998,NaN,24.04213446,91.04662579,0,link,11506,N2,
1507,3.1,A,24.0429516,91.05144903,,bridge,11507,N2,
1508,598,NaN,24.04328348,91.05435518,0,link,11508,N2,
1509,12.57,A,24.04361535,91.05726132,,bridge,11509,N2,
1510,22,NaN,24.04362756,91.05736824,0,link,11510,N2,
1511,3,A,24.04363976,91.05747515,,bridge,11511,N2,
1512,1054,NaN,24.04424074,91.06266425,0,link,11512,N2,
1513,9.5,A,24.04484171,91.06785335,,bridge,11513,N2,
1514,409,NaN,24.04509244,91.06980894,0,link,11514,N2,
1515,6.1,A,24.04534317,91.07176452,,bridge,11515,N2,
1516,1578,NaN,24.04628566,91.07944835,0,link,11516,N2,
1517,4.5,B,24.04722814,91.08713218,,bridge,11517,N2,
1518,479,NaN,24.0475061,91.08943197,0,link,11518,N2,
1519,9.3,A,24.04778406,91.09173177,,bridge,11519,N2,
1520,949,NaN,24.04834201,91.09638947,0,link,11520,N2,
1521,3.6,A,24.04889996,91.10104717,,bridge,11521,N2,
1522,1404,NaN,24.04986663,91.10774578,0,link,11522,N2,
1523,4,,24.0508333,91.1144444,N102,intersection,11523,N2,
1524,541,NaN,24.05390543,91.11474855,0,link,11524,N2,
1525,22.4,A,24.05697756,91.11505269,,bridge,11525,N2,
1526,1001,NaN,24.05735936,91.11957399,0,link,11526,N2,
1527,3,A,24.05774116,91.12409528,,bridge,11527,N2,
1528,977,NaN,24.05710506,91.12883042,0,link,11528,N2,
1529,4.5,A,24.05646896,91.13356555,,bridge,11529,N2,
1530,758,NaN,24.05599559,91.13725576,0,link,11530,N2,
1531,17.5,A,24.05552221,91.14094597,,bridge,11531,N2,
1532,540,NaN,24.05516255,91.14356825,0,link,11532,N2,
1533,43,C,24.05480289,91.14619053,,bridge,11533,N2,
1534,912,NaN,24.05427329,91.15064127,0,link,11534,N2,
1535,4.1,B,24.05374369,91.15509201,,bridge,11535,N2,
1536,694,NaN,24.05333618,91.15846537,0,link,11536,N2,
1537,41.9,A,24.05292867,91.16183873,,bridge,11537,N2,
1538,510,NaN,24.05262343,91.16431469,0,link,11538,N2,
