,country,city_abbr,function,coords
399,NL,EMO,--3-----,5324N 00640E
400,NL,EEN,--3-----,
401,NL,EEE,--3-----,
402,NL,EWO,1-3-----,5308N 00556E
403,NL,QCT,--3-----,
404,NL,EGL,--3-----,
405,NL,EAD,--3-----,5237N 00439E
406,NL,EAZ,--3-----,
407,NL,EDB,--3-----,5236N 00439E
408,NL,EIB,--3-----,
409,NL,EYS,--3-----,
410,NL,EIJ,--3-----,5047N 00542E
411,NL,EIN,1234----,5127N 00528E
412,NL,EKK,1-3-----,5130N 00528E
413,NL,ELA,--3-----,5256N 00532E
414,NL,ELB,1-3-----,
415,NL,EDN,--3--6--,5158N 00553E
416,NL,ELX,1-3-----,5113N 00548E
417,NL,ELL,--3-----,
418,NL,EET,--3-----,5144N 00349E
419,NL,ELZ,--3-----,5317N 00637E
420,NL,ELS,--3-----,5135N 00546E
421,NL,BBT,--3-----,5142N 00508E
422,NL,ELO,--3-----,5057N 00546E
423,NL,ELT,--3-----,5217N 00547E
424,NL,QCU,1-3-----,5155N 00551E
425,NL,EML,--3-----,
426,NL,EMM,-23-----,
427,NL,EMC,--3-----,
428,NL,EME,--3-----,5249N 00659E
429,NL,EMP,--3-----,5209N 00609E
430,NL,EPL,1-3-----,5144N 00520E
431,NL,ZAO,-----6--,5219N 00559E
432,NL,EGM,--3-----,5314N 00543E
433,NL,ENG,--3-----,
434,NL,ENK,1-3-----,
435,NL,ENX,--3-----,
436,NL,ENS,1234----,
437,NL,ENP,--3-----,
438,NL,ENT,--3--6--,5218N 00635E
439,NL,EPE,--3-----,
440,NL,EPN,--3-----,
441,NL,EPS,--3-----,5213N 00612E
442,NL,ERI,--3-----,
443,NL,ERA,1-3-----,5243N 00656E
444,NL,ERM,--3-----,
445,NL,ERP,--3-----,
446,NL,ESB,-----6--,5147N 00508E
447,NL,ESP,--3-----,
448,NL,SET,--3-----,5151N 00519E
449,NL,ET2,--3-----,5155N 00620E
450,NL,ETT,--3--6--,5134N 00440E
451,NL,EUR,123-----,
452,NL,EVD,--3-----,5158N 00509E
453,NL,ANK,1-------,5124N 00345E
454,NL,EVG,--3-----,5123N 00347E
455,NL,EWK,1-3-----,5152N 00544E
456,NL,EXZ,1-3-----,5304N 00528E
457,NL,EYL,--3--6--,5054N 00603E
458,NL,EZI,--3-----,5319N 00627E
459,NL,FAR,1-3-----,
460,NL,FEE,--3-----,
461,NL,FWR,--3-----,5320N 00550E
462,NL,FWD,--3-----,5320N 00550E
463,NL,FFJ,--3-----,
464,NL,FIN,--3-----,5312N 00705E
465,NL,FGM,--3-----,5315N 00534E
466,NL,FLE,--3-----,5223N 00648E
467,NL,DFG,-----6--,5244N 06270E
468,NL,,,
469,NL,FJA,1-3-----,
470,NL,FOR,-----6--,5223N 00518E
471,NL,FOX,1-3-----,
472,NL,FKP,1-3-----,5320N 00638E
473,NL,FRK,--3-----,
474,NL,FKD,--3-----,5311N 00532E
475,NL,AAN,--3-----,5156N 00621E
476,NL,GKN,123-----,5315N 00619E
477,NL,GME,--3-----,5258N 00533E
478,NL,GAM,--3-----,
479,NL,GAR,--3-----,
480,NL,GWO,1-3-----,5315N 00639E
481,NL,GRP,--3-----,5309N 00558E
482,NL,GAS,--3-----,
483,NL,GSS,1----6--,5259N 06051E
484,NL,GST,--3-----,
485,NL,GTB,--3-----,
486,NL,GRV,--3-----,
487,NL,GSB,--3-----,5244N 00638E
488,NL,GES,-----6--,5225N 00644E
489,NL,GWU,1-3-----,5252N 00622E
490,NL,GFN,--3-----,5144N 00528E
491,NL,GDM,1-3-----,
492,NL,GLD,--3-----,
493,NL,GOM,--3-----,5125N 00534E
494,NL,GEE,--3-----,
495,NL,GEC,--3-----,
496,NL,GEM,--3-----,
497,NL,GBA,--3-----,5133N 00541E
498,NL,GMD,-----6--,5137N 00521E
499,NL,GND,--3-----,
500,NL,GGN,--3-----,
501,NL,GET,1-3-----,5153N 00558E
502,NL,GNM,--3-----,
503,NL,GEN,--3-----,
504,NL,GLL,123-----,5055N 00544E
505,NL,GIB,--3-----,
506,NL,GIS,--3-----,
507,NL,GSM,--3-----,
508,NL,GIE,--3-----,5153N 00457E
509,NL,GTN,-----6--,5310N 06460E
510,NL,GHO,1-3-----,5244N 00604E
511,NL,GZE,--3-----,
512,NL,GIZ,--3-----,5135N 00455E
513,NL,GZR,--3-----,
514,NL,GLA,--3-----,
515,NL,GDR,1-------,
516,NL,GOF,--3-----,5145N 00410E
517,NL,GOE,1-3-----,
518,NL,GOJ,--3-----,5301N 00546E
519,NL,GOI,--3-----,
520,NL,GOO,1-3-----,
521,NL,GOR,123-----,
522,NL,DJJ,--3-----,5300N 00604E
523,NL,ESL,--3-----,5212N 00612E
524,NL,GOU,123-----,
525,NL,GDK,--3-----,
526,NL,GUN,1-3-----,5154N 00454E
527,NL,GOW,--3-----,
528,NL,GBG,123-----,5237N 00641E
529,NL,GHK,-----6--,5122N 00557E
530,NL,GAV,--3-----,5145N 00544E
531,NL,GBC,--3-----,
532,NL,GRI,-23-----,5316N 00618E
533,NL,GRD,-23-5-7-,5123N 00330E
534,NL,GNK,-23-----,5207N 00509E
535,NL,GRK,1-3-----,5208N 00434E
536,NL,GRW,1-3-----,5159N 00436E
537,NL,GWD,1-3-----,5131N 00537E
538,NL,GRN,--3-----,
539,NL,ZAT,-----6--,5147N 00556E
540,NL,GRS,--3-----,
541,NL,GRQ,1234----,
542,NL,ELD,--3-----,5049N 00544E
543,NL,GDO,123-----,5210N 00622E
544,NL,GRO,--3--6--,5155N 00449E
545,NL,GOK,--3-----,5241N 00513E
546,NL,GTG,--3-----,5313N 00617E
547,NL,GRU,--3-----,5306N 00550E
548,NL,GBV,--3-----,
549,NL,GPN,--3-----,5049N 00554E
550,NL,GJK,--3-----,5314N 00553E
551,NL,HFN,1-3-----,5149N 00513E
552,NL,HGG,--3-----,5131N 00555E
553,NL,HKH,--3-----,
554,NL,HBK,1-3-----,5229N 00450E
555,NL,HRA,--3-----,5136N 00514E
556,NL,HAA,123-----,
557,NL,HLR,123-----,5223N 00441E
558,NL,HMM,--3-----,5200N 00400E
559,NL,ARL,--3-----,5211N 00656E
560,NL,HSE,--3-----,5143N 00512E
561,NL,HZS,-----6--,5207N 00500E
562,NL,HCH,--3-----,
563,NL,HAE,1-3-----,
564,NL,HSN,--3-----,5159N 00507E
565,NL,HST,1-3-----,5130N 00513E
566,NL,HKG,-23-----,5219N 00506E
567,NL,HDB,--3-----,5135N 00432E
568,NL,HFW,--3-----,
569,NL,ALE,--3-----,5159N 00626E
570,NL,HLL,--3-----,
571,NL,HAL,--3-----,
572,NL,HAD,-----6--,5158N 00571E
573,NL,HNK,--3-----,
574,NL,HAN,1-3-----,5126N 00400E
575,NL,HAP,--3-----,
576,NL,HPS,--3-----,5141N 00552E
577,NL,HBH,--3-----,5223N 00643E
578,NL,HBG,1-3-----,
579,NL,HRD,1-3-----,
580,NL,HGS,1-3-----,5149N 00452E
581,NL,HXG,1-3-----,5149N 00450E
582,NL,HRE,1-3-----,5310N 00636E
583,NL,HAF,--3-----,5212N 00618E
584,NL,HKA,--3-----,5311N 00608E
585,NL,HAR,123-----,5311N 00526E
586,NL,HAM,--3-----,
587,NL,HVL,--3-----,5159N 00631E
588,NL,HSK,1----6--,5208N 00545E
589,NL,HKD,-23-----,5300N 00552E
590,NL,HKR,-----6--,5257N 00549E
591,NL,HAS,--3-----,
592,NL,HTM,123-----,5228N 00604E
593,NL,HTK,--3-----,
594,NL,HAB,--3-----,5320N 00618E
595,NL,HAU,--3-----,
596,NL,HVE,1-3-----,5246N 00615E
597,NL,HZK,123--6-B,5130N 00444E
598,NL,HAZ,--3-----,
599,NL,HWD,--3-----,5206N 00435E
600,NL,HDL,1-3-----,
601,NL,HDG,--3-----,5145N 00516E
602,NL,HDN,--3-----,5131N 00518E
603,NL,HHU,--3-----,5143N 00510E
604,NL,HEG,--3-----,5258N 00536E
605,NL,HEE,1-3-----,
606,NL,HSU,--3-----,5159N 00545E
607,NL,HMV,-----6--,5235N 00634E
608,NL,HKE,--3-----,
609,NL,HMS,1-3-----,
610,NL,HDE,--3-----,5223N 00602E
611,NL,HRR,-----6--,5223N 00602E
612,NL,HRV,1-3-----,
613,NL,HRW,1-3-----,
614,NL,HHW,--3-----,
615,NL,HKF,--3-----,
616,NL,HLE,--3-----,5131N 00421E
617,NL,HEN,--3-----,5055N 00602E
618,NL,HRL,-23-----,
619,NL,HBN,--3-----,5144N 00507E
620,NL,HEC,--3-----,
621,NL,HSW,1-3-----,5139N 00528E
622,NL,HET,--3-----,5219N 00616E
623,NL,HZE,--3-----,
624,NL,HEZ,--3-----,5123N 00535E
625,NL,HSM,-----6--,5126N 00602E
626,NL,HEB,--3-----,5157N 00505E
627,NL,HCP,--3-----,5157N 00506E
628,NL,HGN,--3-----,5140N 00558E
629,NL,HEJ,123-----,
630,NL,HJY,--3-----,5139N 00424E
631,NL,HIJ,--3-----,5153N 00425E
632,NL,HKT,--3-----,
633,NL,HEI,--3-----,5309N 00701E
634,NL,HLO,1-3-----,
635,NL,HNN,--3-----,
636,NL,HOD,--3-----,
637,NL,HZA,--3-----,5129N 00349E
638,NL,HNO,--3-----,
639,NL,HEK,-----6--,5149N 00420E
640,NL,HKO,123-----,5201N 00449E
641,NL,HEL,--3-----,
642,NL,HLD,-----6--,5213N 00626E
643,NL,HSL,1-------,
644,NL,HLM,123-----,5129N 00540E
645,NL,HVO,--3-----,
646,NL,HEM,--3-----,5239N 00511E
647,NL,HPE,1-3-----,5311N 00550E
648,NL,HRI,--3-----,5302N 00608E
649,NL,HIA,-23--6--,5151N 00438E
650,NL,HGL,123-----,
651,NL,HNG,--3-----,5203N 00619E
652,NL,HEV,--3-----,5212N 00638E
653,NL,HNZ,1----6--,5121N 00400E
654,NL,HRK,--3-----,
655,NL,HKI,--3-----,
656,NL,HPN,--3-----,5146N 00539E
657,NL,ZAY,-----6--,5111N 00558E
658,NL,HRT,--3-----,5219N 00646E
659,NL,HVD,--3-----,
660,NL,HER,-23--6--,5142N 00519E
661,NL,HWJ,--3-----,5149N 00508E
662,NL,HBT,--3-----,5317N 00540E
663,NL,HTR,1-3-----,
664,NL,HUK,1----6--,5152N 00504E
665,NL,HUM,123-----,5146N 00551E
