,country,city_abbr,function,coords
919,NL,LTM,--3-----,5128N 00610E
920,NL,LTN,--3-----,5205N 00537E
921,NL,LJB,--3-----,5242N 00512E
922,NL,LWK,--3-----,5246N 00453E
923,NL,LGE,--3-----,5245N 00551E
924,NL,LYG,--3-----,5117N 00519E
925,NL,MHZ,--3-----,5119N 00536E
926,NL,MHU,1-3-----,5321N 00630E
927,NL,MAV,--3-----,5204N 00521E
928,NL,MAB,--3-----,
929,NL,MSS,--3-----,
930,NL,MRS,--3-----,
931,NL,MRT,--3-----,
932,NL,MSB,1-------,
933,NL,ZBC,-----6--,5121N 00603E
934,NL,MSD,--3-----,
935,NL,MDK,--3-----,5158N 00413E
936,NL,MDR,--3-----,5146N 00520E
937,NL,MGW,--3-----,5109N 00554E
938,NL,MAA,-----6--,5134N 00602E
939,NL,MAL,--3-----,
940,NL,MSL,123-----,
941,NL,MST,1234----,
942,NL,MSV,1-3-----,
943,NL,MAC,--3-----,5148N 05330E
944,NL,QDJ,--3-----,
945,NL,MAK,1-3-----,5303N 00524E
946,NL,MAD,--3-----,
947,NL,MJA,1-3-----,5234N 00555E
948,NL,MTN,--3-----,5248N 00637E
949,NL,MRK,--3--6--,5148N 00524E
950,NL,ZBF,-----6--,5049N 00549E
951,NL,MHO,--3-----,5132N 00534E
952,NL,MAR,1-3-----,
953,NL,MKN,1-3-----,5228N 00506E
954,NL,MAN,--3-----,
955,NL,MRR,--3-----,5320N 00548E
956,NL,MRU,--3-----,5313N 00544E
957,NL,MRM,--3-----,5309N 00616E
958,NL,MAU,1-3-----,
959,NL,MEC,-----6--,5047N 00555E
960,NL,MED,--3-----,5201N 00642E
961,NL,MDM,--3-----,
962,NL,MEK,--3-----,5308N 00656E
963,NL,MEE,--3-----,
964,NL,MKK,--3-----,5155N 00500E
965,NL,MEW,1-------,
966,NL,MES,--3-----,
967,NL,MRN,-23-----,5053N 00545E
968,NL,MWE,--3-----,5143N 00500E
969,NL,MEG,--3-----,5150N 00624E
970,NL,MGN,--3-----,5149N 00534E
971,NL,MEJ,--3-----,5121N 00553E
972,NL,MDO,-23--6--,5128N 00605E
973,NL,MCK,--3-----,
974,NL,MKU,--3-----,5131N 00331E
975,NL,MSA,--3-----,5146N 00404E
976,NL,MNU,1-3-----,5313N 00540E
977,NL,MLD,--3-----,5313N 00540E
978,NL,MSW,1-3-----,5321N 00628E
979,NL,MTW,--3-----,5308N 00652E
980,NL,MEP,123-----,
981,NL,MEB,--3-----,
982,NL,MEH,1-3-----,
983,NL,GE7,1----6--,5152N 00517E
984,NL,MTK,--3-----,5127N 00602E
985,NL,MLA,1-3-----,5144N 00555E
986,NL,MDB,--3-----,
987,NL,MID,123-----,
988,NL,MDL,--3-----,5130N 00336E
989,NL,MIH,1-3-----,
990,NL,MVE,--3-----,
991,NL,MDU,1-3-----,5321N 00639E
992,NL,MIZ,---4----,5130N 00343E
993,NL,MDI,1----6--,5233N 04055E
994,NL,MDF,--3-----,5159N 00419E
995,NL,MDD,--3-----,5252N 00631E
996,NL,ZBD,-----6--,5248N 00500E
997,NL,MWD,1-------,5312N 00700E
998,NL,MIE,1-3-----,5126N 00537E
999,NL,MIJ,--3-----,
1000,NL,MNH,1-------,5148N 00429E
1001,NL,MDT,1-3-----,
1002,NL,MZE,--3-----,5130N 00546E
1003,NL,MLL,--3-----,
1004,NL,MSH,--3-----,5141N 00547E
1005,NL,MLR,1-3-----,5152N 00603E
1006,NL,MBK,--3--6--,
1007,NL,M9G,--3-----,5315N 00536E
1008,NL,MOE,123-----,5141N 00434E
1009,NL,MGS,--3-----,5133N 00511E
1010,NL,MKP,--3-----,
1011,NL,MSN,--3-----,5132N 00421E
1012,NL,MOG,--3-----,
1013,NL,MGT,1-3-----,5303N 00439E
1014,NL,MOL,123-----,5146N 00552E
1015,NL,MOT,--3-----,5134N 00453E
1016,NL,MLW,--3-----,5152N 00447E
1017,NL,MWU,--3-----,5254N 00524E
1018,NL,MNN,--3-----,
1019,NL,MON,--3-----,
1020,NL,MTL,--3-----,5156N 00608E
1021,NL,MNT,--3-----,
1022,NL,MOK,1-3-----,5145N 00553E
1023,NL,MHK,--3-----,5145N 00437E
1024,NL,MOO,--3-----,
1025,NL,MUD,1-3-----,5220N 00504E
1026,NL,MDG,123-----,5220N 00507E
1027,NL,MUN,--3-----,5315N 00555E
1028,NL,MKE,1-3-----,5251N 00553E
1029,NL,MKZ,--3-----,5318N 00616E
1030,NL,MTD,--3-----,5308N 00652E
1031,NL,MUS,-----6--,5255N 00701E
1032,NL,NAW,1-3-----,
1033,NL,NAA,--3-----,
1034,NL,NLG,--3-----,
1035,NL,NEC,1-3-----,5231N 00455E
1036,NL,NST,1-3-----,5146N 00545E
1037,NL,NBW,-23-----,5156N 00534E
1038,NL,ZBA,-----6--,5146N 00510E
1039,NL,NDB,1-3-----,5216N 00503E
1040,NL,NRW,--3-----,
1041,NL,NEE,--3-----,5208N 00637E
1042,NL,NTJ,1-------,5338N 00342E
1043,NL,NER,--3-----,
1044,NL,NEJ,--3-----,5150N 00517E
1045,NL,EER,--3-----,5110N 00548E
1046,NL,NES,123-----,5303N 00551E
1047,NL,NSA,1-3-----,5216N 00453E
1048,NL,NSU,1-3-----,5215N 00452E
1049,NL,NTD,--3-----,5151N 00619E
1050,NL,NXO,--3-----,5242N 00504E
1051,NL,NAM,123--6--,5243N 00652E
1052,NL,NIB,--3-----,5136N 00603E
1053,NL,NB3,--3-----,5257N 00656E
1054,NL,NIU,1-3-----,5128N 00344E
1055,NL,NBU,1-3-----,5222N 00440E
1056,NL,NPK,--3-----,5305N 00659E
1057,NL,NSB,--3----B,5150N 00530E
1058,NL,NSZ,1-3-----,5314N 00712E
1059,NL,NDI,--3-----,5303N 00651E
1060,NL,NWG,1-3-----,
1061,NL,NHM,--3-----,5257N 00603E
1062,NL,NIH,--3-----,5054N 00602E
1063,NL,NBG,123-----,5205N 00449E
1064,NL,NRK,--3-----,5142N 00354E
1065,NL,NIE,1-3-----,5158N 00437E
1066,NL,N8W,1-------,5142N 00354E
1067,NL,NSC,-23-----,5311N 00712E
1068,NL,NWT,--3-----,5143N 00410E
1069,NL,NWK,--3-----,
1070,NL,NKU,--3-----,5141N 00511E
1071,NL,NUW,--3-----,5212N 00523E
1072,NL,NIL,-----6--,5154N 00500E
1073,NL,NLK,--3-----,5153N 00440E
1074,NL,NWL,--3-----,5235N 00618E
1075,NL,LSR,--3-----,
1076,NL,NMG,--3-----,5213N 00546E
1077,NL,NWO,1-3-----,5315N 00659E
1078,NL,NWP,--3-----,
1079,NL,NSD,1-3-----,5312N 00656E
1080,NL,NWS,--3-----,
1081,NL,NWV,-23-----,
1082,NL,NVP,--3-----,5216N 00438E
1083,NL,NVO,--3--6--,5135N 00413E
1084,NL,WEE,--3-----,5252N 00659E
1085,NL,NZI,--3-----,5316N 00621E
1086,NL,NFK,--3--6--,5148N 00540E
1087,NL,NGV,1-3-----,5217N 00502E
1088,NL,NGA,--3-----,5308N 00601E
1089,NL,NHE,--3-----,5257N 00553E
1090,NL,NMD,--3-----,5251N 00534E
1091,NL,JEV,-----6--,5244N 00610E
1092,NL,NZJ,1-3-----,5300N 00537E
1093,NL,NKK,1-3-----,
1094,NL,NKV,--3-----,
1095,NL,NIJ,123-----,
1096,NL,ZBG,-----6--,5133N 00529E
1097,NL,NVD,--3-----,
1098,NL,NIS,--3-----,
1099,NL,NSS,--3-----,
1100,NL,NBN,--3-----,5149N 00416E
1101,NL,NTR,--3-----,5142N 00534E
1102,NL,NGD,--3-----,5258N 00640E
1103,NL,NMT,--3-----,5235N 00457E
1104,NL,OOG,--3-----,5313N 00601E
1105,NL,NOQ,--3-----,5135N 00345E
1106,NL,EOR,--3-----,5312N 00652E
1107,NL,NZ8,1----6--,5154N 00457E
1108,NL,NDN,--3-----,5210N 00450E
1109,NL,NOV,--3-----,5308N 00626E
1110,NL,NWE,--3-----,5142N 00357E
1111,NL,NDH,--3-----,5139N 00432E
1112,NL,NOP,--3-----,5243N 00545E
1113,NL,NSW,--3-----,
1114,NL,NWJ,1----6--,5143N 00348E
1115,NL,NDW,--3-----,5310N 00615E
1116,NL,NDL,1-------,5215N 00426E
1117,NL,NOJ,--3-----,
1118,NL,NWD,--3--6--,5253N 00608E
1119,NL,NDP,--3-----,
1120,NL,NRG,123-5---,5303N 00627E
1121,NL,NNN,--3-----,
1122,NL,NGN,--3-----,5128N 00533E
1123,NL,NUI,--3-----,
1124,NL,NUL,-----6--,5143N 00526E
1125,NL,NUD,--3-----,
1126,NL,NNM,--3-----,5114N 00557E
1127,NL,NUN,--3-----,
1128,NL,NTH,--3-----,
1129,NL,OBD,--3-----,
1130,NL,OCC,--3-----,
1131,NL,ODK,--3-----,
1132,NL,ODL,1----6--,5139N 00542E
1133,NL,ODN,--3-----,5251N 00651E
1134,NL,OGE,1-3-----,
1135,NL,OGW,--3-----,5302N 00542E
1136,NL,OEL,--3-----,5107N 00551E
1137,NL,OIL,-23-----,5131N 00602E
1138,NL,OIH,1-3-----,
1139,NL,OIW,--3-----,
1140,NL,OBE,--3-----,5202N 00607E
1141,NL,OWI,--3-----,5309N 00702E
1142,NL,OLD,--3-----,
1143,NL,OLB,--3-----,5226N 00553E
1144,NL,ODD,-----6--,5254N 00603E
1145,NL,OLE,--3-----,5318N 00624E
1146,NL,OLK,--3-----,
1147,NL,OLZ,-23-----,
1148,NL,OWE,--3-----,5255N 00548E
1149,NL,OSI,-23--6--,5220N 00607E
1150,NL,OBK,--3-----,5220N 00607E
1151,NL,OML,--3-----,5125N 00545E
1152,NL,OMM,--3-----,
1153,NL,ORE,-----6--,5156N 00529E
1154,NL,OOW,--3-----,5058N 00559E
1155,NL,OOY,--3-----,
1156,NL,OGP,1-3-----,5141N 00421E
1157,NL,OPT,--3-----,5159N 00634E
1158,NL,OBG,--3-----,5120N 00330E
1159,NL,OSD,--3-----,
1160,NL,OOE,-----6--,5138N 00454E
1161,NL,OSB,--3-----,
1162,NL,OSM,--3-----,5314N 00531E
1163,NL,OER,--3-----,5240N 00507E
1164,NL,OOD,--3-----,5305N 00453E
1165,NL,OHN,--3-----,5245N 00644E
1166,NL,OTH,--3-----,5153N 00550E
1167,NL,OOS,1-3-----,5139N 00453E
1168,NL,OTL,--3-----,5256N 00500E
1169,NL,OLS,1-3-----,5308N 00539E
1170,NL,OME,1-3-----,5310N 00603E
1171,NL,OTK,--3-----,5255N 00610E
1172,NL,OSW,--3-----,5300N 00618E
1173,NL,OHM,123-----,5301N 00536E
1174,NL,OHZ,123-----,5234N 00500E
1175,NL,OMH,1-3-----,5323N 00610E
1176,NL,OST,--3-----,
1177,NL,OTR,--3-----,5132N 00601E
1178,NL,OSO,--3-----,5128N 00336E
1179,NL,OOL,--3-----,5300N 00618E
1180,NL,OVN,--3-----,
1181,NL,NHO,--3-----,5244N 05505E
1182,NL,OSZ,--3-----,5227N 00452E
1183,NL,OOT,--3-----,
1184,NL,ZBI,-----6--,5152N 00555E
1185,NL,OPE,--3-----,5308N 00604E
1186,NL,OPG,--3-----,5310N 00612E
1187,NL,OPH,-----6--,5184N 00538E
1188,NL,OPD,--3-----,5156N 00538E
1189,NL,OPL,--3-----,5136N 00553E
1190,NL,ZBQ,-----6--,5242N 00457E
1191,NL,OPP,--3-----,5246N 00505E
1192,NL,OUT,--3-----,5304N 00605E
1193,NL,OSP,--3-----,
1194,NL,OSS,123-----,5146N 00532E
1195,NL,OSH,--3--6--,5124N 00420E
1196,NL,OZL,1-3-----,5248N 00555E
1197,NL,ORL,1-3-----,5238N 00450E
1198,NL,OUA,-----6--,5211N 00433E
1199,NL,OGN,1-3-----,
1200,NL,A2Z,1----6--,5151N 00442E
1201,NL,OBL,1-3-----,
1202,NL,ODU,--3-----,5149N 00356E
1203,NL,OBZ,-----6--,5318N 00543E
1204,NL,OAT,--3-----,5153N 00623E
1205,NL,PRW,--3-----,5318N 00544E
1206,NL,ZBH,-----6--,5317N 00543E
1207,NL,OUM,--3-----,5217N 00446E
1208,NL,6LN,--3-----,5243N 00452E
1209,NL,ODP,--3-----,
1210,NL,OHW,123-----,5304N 00549E
1211,NL,OWG,-----6--,5234N 00602E
1212,NL,OGA,123--6--,5300N 00533E
1213,NL,OHE,--3-----,5257N 00552E
1214,NL,OMR,--3-----,5251N 00531E
1215,NL,OMO,--3-----,5139N 00428E
1216,NL,OBO,--3-----,
1217,NL,ODJ,--3-----,5236N 00458E
1218,NL,ODH,--3-----,
1219,NL,ORJ,123-----,5205N 00504E
1220,NL,ODR,123-----,5218N 00454E
1221,NL,OAI,--3--6--,5156N 00438E
1222,NL,OHI,1-3-----,5302N 00452E
1223,NL,OSL,-23-----,5146N 00427E
1224,NL,ODT,--3-----,
1225,NL,ODW,--3-----,
1226,NL,OUG,--3-----,5135N 00428E
1227,NL,OKP,--3-----,5242N 00448E
1228,NL,OLO,--3-----,5213N 00505E
1229,NL,OUD,-----6--,5238N 00446E
1230,NL,OSG,1-3-----,5132N 00348E
1231,NL,OVM,--3-----,
1232,NL,OVR,--3-----,5050N 00539E
1233,NL,OZU,123-----,5208N 00504E
1234,NL,OWK,--3-----,5138N 00359E
1235,NL,OAS,--3-----,5145N 00547E
1236,NL,OVG,1----6--,5202N 00530E
1237,NL,OOV,--3--6--,5214N 00702E
1238,NL,OVL,--3-----,5134N 00557E
1239,NL,OSK,1-3-----,5317N 00647E
1240,NL,OVE,--3-----,5207N 00507E
1241,NL,OVV,-----6--,5223N 00436E
1242,NL,OVZ,--3-----,
1243,NL,PHL,1-3-----,5111N 00552E
1244,NL,PNN,--3-----,5153N 00603E
1245,NL,PAN,--3-----,
1246,NL,PAP,1-3-----,
1247,NL,PAT,--3-----,5310N 00634E
1248,NL,PEE,--3-----,5120N 00559E
1249,NL,PET,--3-----,5304N 00630E
1250,NL,PIZ,-----6--,5309N 00630E
1251,NL,PEK,--3-----,5306N 00700E
1252,NL,PER,123-----,5153N 00423E
1253,NL,PSE,--3-----,5246N 00627E
1254,NL,PTT,--3-----,
1255,NL,ZBM,-----6--,5117N 00346E
1256,NL,PSI,--3-----,5148N 00419E
1257,NL,PZI,1-3-----,5317N 00616E
1258,NL,PIJ,--3-----,
1259,NL,PIN,--3-----,5201N 00426E
1260,NL,ZBN,-----6--,5307N 00526E
1261,NL,PDJ,--3--6--,5147N 00505E
1262,NL,PDK,--3-----,
1263,NL,UTP,-----6--,5159N 04510E
1264,NL,PTG,123--6--,5152N 00424E
1265,NL,PVT,--3-----,
1266,NL,PRB,--3-----,
1267,NL,PUM,1-3-----,
1268,NL,PUT,--3-----,
1269,NL,PTN,--3-----,5215N 00536E
1270,NL,PTK,-----6--,5148N 00434E
1271,NL,QDS,1-3-----,
1272,NL,RAA,--3-----,5142N 00454E
1273,NL,RDK,--3-----,5141N 00455E
1274,NL,RPL,1-3-----,
1275,NL,RAS,1-3-----,
1276,NL,REK,--3-----,5145N 00541E
1277,NL,RUW,--3-----,
1278,NL,REI,--3-----,5313N 00535E
1279,NL,REW,1-------,
1280,NL,RNS,-----6--,5143N 00346E
1281,NL,RNK,1-3-----,
1282,NL,RWD,--3-----,5205N 00532E
1283,NL,NLD,-----6--,5154N 00552E
1284,NL,RDM,--3-----,5122N 00510E
1285,NL,REU,--3-----,
1286,NL,RHD,1-3-----,
1287,NL,RHE,--3-----,
1288,NL,RHO,--3-----,
1289,NL,RID,1-3-----,
1290,NL,RED,1-3-----,5131N 00501E
1291,NL,RIE,--3-----,
1292,NL,RTH,--3-----,5121N 00523E
1293,NL,RJE,--3-----,
1294,NL,RJV,--3-----,
1295,NL,RSW,1-------,5212N 00440E
1296,NL,RBG,1-3-----,
1297,NL,RIW,--3-----,5152N 00607E
1298,NL,RWI,--3--6--,5212N 00435E
1299,NL,RIJ,1-3-----,5252N 00530E
1300,NL,RYB,--3-----,
1301,NL,RSH,1-3-----,5215N 00443E
1302,NL,RJS,--3-----,
1303,NL,RIH,--3-----,5218N 00631E
1304,NL,RYS,1-3-----,
1305,NL,RLA,123-----,5125N 00411E
1306,NL,RGT,--3-----,5318N 00557E
1307,NL,XXX,1-------,
1308,NL,RTT,--3-----,5127N 00338E
1309,NL,RBO,1-3-----,
1310,NL,ROC,1-3-----,5152N 00404E
1311,NL,ROD,--3-----,
1312,NL,ROR,--3-----,
1313,NL,RAV,--3-----,
1314,NL,ROE,--3-----,5109N 00600E
1315,NL,OMD,1-3-----,
1316,NL,RG2,--3-----,5241N 00616E
1317,NL,ROG,--3-----,
1318,NL,ROL,--3-5---,5259N 00638E
1319,NL,RDS,--3-----,5325N 00646E
1320,NL,RSL,1-3-----,
1321,NL,RDH,--3-----,5307N 00548E
1322,NL,ROO,-23-5---,5132N 00428E
1323,NL,RST,1-3-----,5105N 00549E
1324,NL,RMA,--3-----,
1325,NL,GRM,--3-----,5148N 00520E
1326,NL,RTM,12345---,5155N 00430E
1327,NL,RTU,--3-----,5256N 00554E
1328,NL,REE,--3-----,5237N 00611E
1329,NL,ROZ,1-------,
1330,NL,RZG,--3-----,5217N 00444E
1331,NL,RZD,--3-----,
1332,NL,RCP,--3-----,
1333,NL,RUI,--3-5---,5246N 00621E
1334,NL,RWO,--3-----,5243N 00615E
1335,NL,RUM,--3-----,
1336,NL,RTG,1-3-----,5238N 00453E
1337,NL,RUT,1-3-----,5248N 00542E
1338,NL,RRO,--3-----,5205N 00627E
1339,NL,HAK,-----6--,5130N 00400E
1340,NL,SVE,--3-----,5220N 00649E
1341,NL,SAB,1-------,1738N 06314W
1342,NL,SMB,-23-----,5138N 00558E
1343,NL,STC,--3-----,5226N 00438E
1344,NL,SAP,--3-----,
1345,NL,SVG,1-3-----,5114N 00348E
1346,NL,SAS,--3-----,
1347,NL,SCH,1-3-----,5247N 00447E
1348,NL,SBU,1-3-----,5248N 00446E
1349,NL,SCJ,--3--6--,5145N 00538E
1350,NL,SKW,1-3-----,5159N 00511E
1351,NL,SRD,1-3-----,5144N 00351E
1352,NL,SFR,--3-----,5304N 00541E
1353,NL,SBG,--3-----,5256N 00546E
1354,NL,SMD,1-3-----,
1355,NL,SMZ,123-----,5311N 00657E
1356,NL,SLH,-----6--,5238N 00507E
1357,NL,SLN,--3-----,5150N 00455E
1358,NL,SHO,1-3-----,5236N 00453E
1359,NL,ZE5,1----6--,5133N 00406E
1360,NL,SRP,--3-----,5205N 00529E
1361,NL,SCE,1-3-----,5206N 00415E
1362,NL,SCI,123-----,
1363,NL,SMO,1-3-----,5329N 00610E
1364,NL,SCY,-----6--,5129N 00433E
1365,NL,SND,1-3-----,
1366,NL,SDW,1-3-----,5314N 00649E
1367,NL,SCM,--3-----,5055N 00550E
1368,NL,SOG,--3-----,5051N 00553E
1369,NL,SCN,--3-----,
1370,NL,SVD,--3-----,5058N 00559E
1371,NL,SPL,--3-----,
1372,NL,SRK,--3-----,
1373,NL,SCT,--3-----,5241N 00615E
1374,NL,SCP,--3-----,5159N 00418E
1375,NL,SCO,--3-----,5121N 00333E
1376,NL,SCB,--3-----,
1377,NL,SHH,1-3-----,
1378,NL,SC2,--3-----,5251N 00645E
1379,NL,SOR,--3-----,5130N 00600E
1380,NL,SRL,1-------,5244N 00438E
1381,NL,SZL,1-3-----,5249N 00548E
1382,NL,SWD,--3-----,5139N 00655E
1383,NL,SWL,1-3-----,5320N 00627E
1384,NL,SER,--3-----,5133N 00336E
1385,NL,SVM,--3-----,5125N 00602E
1386,NL,SBM,--3-----,5313N 00529E
1387,NL,SGL,--3-----,5214N 00507E
1388,NL,GRA,1-------,5147N 00437E
1389,NL,SGM,--3-----,5140N 00448E
1390,NL,SGP,--3--6--,5127N 00354E
1391,NL,GRZ,1-3-----,5200N 00410E
1392,NL,HDR,--3-----,5130N 00349E
1393,NL,HRB,--3--6-B,5153N 00615E
1394,NL,SHB,--3-----,5232N 00601E
1395,NL,SHE,--3-----,5127N 00346E
1396,NL,SHR,--3-----,5130N 00352E
1397,NL,HTB,123-----,5142N 00519E
1398,NL,SDD,--3-----,5315N 00652E
1399,NL,SRB,--3-----,5304N 00543E
1400,NL,SBS,1-3-----,5319N 00558E
1401,NL,SIV,--3-----,
1402,NL,SIM,-23-----,5050N 00559E
1403,NL,SAR,1-3-----,5148N 00521E
1404,NL,SAN,--3-----,5317N 00540E
1405,NL,SIN,--3-----,5138N 00553E
1406,NL,SUD,--3-----,
1407,NL,SJP,--3-----,5316N 00536E
1408,NL,TEE,-----6--,
1409,NL,SMN,--3-----,5246N 00445E
1410,NL,ZBE,-----6--,5247N 00444E
1411,NL,SMK,--3-----,5133N 00404E
1412,NL,SMV,1-3-----,5247N 00443E
1413,NL,SMG,1-3-----,5138N 00521E
1414,NL,SNG,--3-----,5255N 00545E
1415,NL,SOB,--3-----,5109N 00600E
1416,NL,OED,--3--6--,5134N 00528E
1417,NL,ANC,123-----,5240N 00447E
1418,NL,PLP,--3-----,5137N 00409E
1419,NL,SWB,--3-----,5133N 00436E
1420,NL,SNN,1----6--,5136N 00406E
1421,NL,SJO,--3-----,5255N 00551E
1422,NL,SRJ,-----6--,5140N 00408E
1423,NL,SIT,--3-----,
1424,NL,SIG,--3-----,5100N 00552E
1425,NL,LGR,--3-----,5238N 00633E
1426,NL,SWK,1-3-----,5149N 00457E
1427,NL,SLD,1-3-----,5149N 00446E
1428,NL,SKG,1-3-----,5249N 00551E
1429,NL,SKM,1-3-----,5209N 00451E
1430,NL,SLI,--3-----,
1431,NL,SLO,1-3-----,5313N 00648E
1432,NL,SDP,--3-----,5251N 00458E
1433,NL,SLT,1-3-----,5254N 00539E
1434,NL,SLS,--3-----,
1435,NL,SLU,1-3-----,5117N 00350E
1436,NL,SML,1-------,
1437,NL,SMI,1-3-----,5257N 00627E
1438,NL,SNK,--3-----,
1439,NL,SNW,--3-----,
1440,NL,SOE,--3-----,
1441,NL,SOS,--3-----,
1442,NL,SOM,--3-----,
1443,NL,SIJ,--3-----,5146N 00409E
1444,NL,SON,1-------,5130N 00530E
1445,NL,SBR,--3-----,5130N 00529E
1446,NL,SOD,--3-----,5252N 00535E
1447,NL,SPD,--3-----,
1448,NL,SPK,--3-----,
1449,NL,SPB,--3-----,
1450,NL,SPA,--3-----,
1451,NL,SEK,--3-----,5239N 00457E
1452,NL,SJK,--3-----,
1453,NL,SPI,1-3-----,
1454,NL,SCA,123-----,5140N 00503E
1455,NL,SPC,-----6--,5140N 00503E
1456,NL,SPR,--3-----,5133N 00436E
1457,NL,SAT,1-3--6--,5144N 00415E
1458,NL,SDM,1-3-----,5205N 00503E
1459,NL,STK,--3-----,
1460,NL,SPG,--3-----,5136N 00426E
1461,NL,SDB,1-3-----,5137N 00431E
1462,NL,STH,--3-----,
1463,NL,SHN,--3-----,5323N 00642E
1464,NL,SVN,1-3-----,5135N 00400E
1465,NL,STA,--3-----,
1466,NL,SBC,--3-----,5242N 00514E
1467,NL,STE,--3-----,
1468,NL,SDN,1-3-----,5204N 00611E
1469,NL,STW,--3-----,
1470,NL,SEW,--3-----,5247N 00607E
1471,NL,STG,--3--6--,5251N 00604E
1472,NL,STI,--3-----,
1473,NL,STD,1-3-----,
1474,NL,STR,-----6--,5121N 00536E
1475,NL,STB,--3-----,5136N 00554E
1476,NL,SVW,--3-----,5108N 00551E
1477,NL,SVT,--3-----,5209N 00502E
1478,NL,SKL,1-3-----,5241N 00650E
1479,NL,STN,--3-----,
1480,NL,SLG,--3-----,5216N 00456E
1481,NL,SOP,1-3-----,5249N 00443E
1482,NL,SPV,1-3-----,5248N 00443E
1483,NL,SWJ,--3-----,5158N 00446E
1484,NL,SPT,1-3-56--,5237N 00449E
1485,NL,ZBU,-----6--,5206N 00428E
1486,NL,STP,--3-----,5112N 00543E
1487,NL,SRE,1-3--6--,5154N 00445E
1488,NL,SJB,--3-----,
1489,NL,TRJ,--3-----,
1490,NL,SRT,1-------,5256N 00459E
1491,NL,STS,-----6--,5314N 00613E
1492,NL,SUA,--3-----,5311N 00600E
1493,NL,SMR,--3-----,5310N 00600E
1494,NL,SUR,--3-----,
1495,NL,ZAJ,-----6--,5104N 00552E
1496,NL,SWM,--3-----,
1497,NL,SWI,--3-----,5234N 00538E
1498,NL,GOY,--3-----,5200N 00514E
1499,NL,THA,--3-----,5225N 00553E
1500,NL,THE,1-3-----,5300N 00447E
1501,NL,KRI,1-3-----,5239N 00451E
1502,NL,LKN,1-3-----,
1503,NL,STO,1-3-----,
1504,NL,VET,--3-----,5244N 00452E
1505,NL,TWA,1-3-----,5313N 00656E
1506,NL,TZA,--3-----,
1507,NL,TEG,--3-----,
1508,NL,NTO,-23-----,5317N 00641E
1509,NL,TPT,--3-----,5318N 00644E
1510,NL,TEA,--3-----,
1511,NL,TPH,--3-----,
1512,NL,TAK,--3-----,
1513,NL,THD,1-------,5202N 00410E
1514,NL,TBO,--3-----,
1515,NL,TER,-----6--,5138N 00445E
1516,NL,TRH,--3-----,5302N 00546E
1517,NL,TRO,1-3-----,5302N 00547E
1518,NL,TMN,--3-----,5318N 00703E
1519,NL,TMZ,123-----,5318N 00702E
1520,NL,TND,--3-----,5323N 00558E
1521,NL,TNZ,1-3-----,5128N 00349E
1522,NL,TSL,1-3-----,5324N 00521E
1523,NL,TEU,--3-----,5210N 00531E
1524,NL,TRI,--3-----,5301N 00603E
1525,NL,TRW,--3-----,5217N 00606E
1526,NL,TET,-----6--,5136N 00449E
1527,NL,TGE,--34----,5214N 00603E
1528,NL,TEX,1--4----,
1529,NL,TEY,--3-----,5213N 00429E
1530,NL,HAG,-234-6--,5205N 00418E
1531,NL,THO,1-3-----,
1532,NL,THN,--3-----,5109N 00550E
1533,NL,TIE,-23-----,
1534,NL,TNY,--3-----,5129N 00605E
1535,NL,TYT,--3-----,5312N 00600E
1536,NL,FR5,--3-----,5302N 00600E
1537,NL,TLB,123-----,
1538,NL,TKW,1-3-----,5303N 00530E
1539,NL,TOL,--3-----,5310N 00622E
1540,NL,TLD,--3--6--,5203N 00613E
1541,NL,TKM,1-3-----,5151N 00606E
1542,NL,TOK,1-3-----,5241N 00541E
1543,NL,TOR,1-3-----,
1544,NL,TRC,--3-----,5153N 00516E
1545,NL,TBB,--3-----,
1546,NL,TUL,1-3-----,5149N 00514E
1547,NL,TUH,--3-----,
1548,NL,2LL,--3-----,5255N 00658E
1549,NL,TWE,--3-----,
1550,NL,TWT,--3-----,5225N 00638E
1551,NL,TWY,--3-----,5314N 00606E
1552,NL,TWI,--3--6--,5315N 00603E
1553,NL,TWL,--3-----,5327N 00602E
1554,NL,TNO,--3-----,5305N 00636E
1555,NL,TZU,--3-----,5314N 00533E
1556,NL,UDL,--3-----,
1557,NL,UDE,--3-----,5140N 00537E
1558,NL,UDH,--3-----,
1559,NL,UFE,1-3-----,5247N 00617E
1560,NL,ZDS,--3-----,5211N 00556E
1561,NL,UTR,1-3-----,5218N 00505E
1562,NL,UTG,123-----,5232N 00443E
1563,NL,UIT,--3-----,
1564,NL,UTZ,--3-----,
1565,NL,ULS,--3-----,
1566,NL,ULF,--3-----,
1567,NL,UCT,--3-----,5127N 00451E
1568,NL,ULR,1-------,
1569,NL,NBV,-----6--,5133N 04480E
1570,NL,URE,-----6--,5305N 00610E
1571,NL,URK,1-3-----,
1572,NL,UMO,1-3-----,5100N 00546E
1573,NL,URS,--3-----,
1574,NL,NPZ,1-------,5326N 00633E
1575,NL,UTC,-234----,5205N 00508E
1576,NL,VLS,--3-----,
1577,NL,VAA,--3-----,
1578,NL,VLK,--3-----,5210N 00425E
1579,NL,VLB,--3-----,5052N 00550E
1580,NL,VKS,1-3-----,5130N 00330E
1581,NL,VAL,--3-----,
1582,NL,VTH,--3-----,5253N 00659E
1583,NL,VNE,--3-----,
1584,NL,VAR,1-3-----,5231N 00623E
1585,NL,VSR,--3-----,
